"Bucks_labHisp","Burlington_labHisp","Camden_labHisp","Chester_labHisp","Delaware_labHisp","Gloucester_labHisp","Mercer_labHisp","Montgomery_labHisp","NJ Suburban Counties_labHisp","PA Suburban Counties_labHisp","Philadelphia_labHisp","Region_labHisp","year","Bucks_labWht","Burlington_labWht","Camden_labWht","Chester_labWht","Delaware_labWht","Gloucester_labWht","Mercer_labWht","Montgomery_labWht","NJ Suburban Counties_labWht","PA Suburban Counties_labWht","Philadelphia_labWht","Region_labWht","Bucks_difference","Burlington_difference","Camden_difference","Chester_difference","Delaware_difference","Gloucester_difference","Mercer_difference","Montgomery_difference","NJ Suburban Counties_difference","PA Suburban Counties_difference","Philadelphia_difference","Region_difference"
NA,NA,67.2,NA,NA,NA,NA,NA,NA,NA,54.3,58,2005,67.9,70.1,68,69.1,66.9,69.2,65.6,69.9,68.4,68.6,59.8,67.1,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,5.5,9.2
74.6,65.4,67.3,NA,NA,NA,71.5,NA,NA,NA,55.9,62.7,2006,68.5,67.8,67.7,69,63.9,69.1,64.6,68.3,67.4,67.6,59,66.2,-6.1,2.4,0.4,NA,NA,NA,-6.9,NA,NA,NA,3.1,3.5
NA,64.4,64.8,NA,NA,NA,74.5,79.6,NA,NA,55.1,62.7,2007,67.7,68.9,67.3,69.8,64,70,64.6,69.6,67.8,68,60.4,66.7,NA,4.5,2.5,NA,NA,NA,-9.9,-10,NA,NA,5.3,4
75.3,67.4,68.1,NA,NA,NA,77.4,73.3,NA,NA,57.3,65.3,2008,69.2,70.1,68.6,69.1,65.9,70.7,65.7,68.6,68.9,68.3,60.5,67.3,-6.1,2.7,0.5,NA,NA,NA,-11.7,-4.7,NA,NA,3.2,1.9
NA,70.4,69.1,75.3,64.2,71.8,78,79.2,72.5,NA,56.7,65.7,2009,69.3,69.2,69.1,70.6,65.5,71.1,67.6,69.3,69.3,68.8,63.3,68,NA,-1.2,0,-4.7,1.3,-0.7,-10.4,-9.9,-3.2,NA,6.6,2.3
78.3,68.6,69.6,75.1,61.5,NA,68.7,79.5,NA,75.2,55.1,64.8,2010,70,68.5,68.2,69.5,66.1,69.8,66.5,69,68.3,68.8,61.1,67.4,-8.3,-0.1,-1.4,-5.6,4.6,NA,-2.2,-10.5,NA,-6.4,6,2.6
74.8,68.7,63.6,NA,55.3,NA,75.5,76.6,NA,NA,57.8,64.4,2011,68.2,68.6,67.3,67.7,64.7,68,65.6,68.3,67.5,67.4,61.8,66.5,-6.6,-0.1,3.7,NA,9.4,NA,-9.9,-8.3,NA,NA,4,2.1
75.2,69.7,62.6,77,65.2,58.3,73.2,74.9,67,74.1,57.8,64.9,2012,67.3,66.5,67.4,69.5,65.1,68.8,64.3,68.3,66.8,67.6,62.3,66.5,-7.9,-3.2,4.8,-7.5,-0.1,10.5,-8.9,-6.6,-0.2,-6.4,4.5,1.6
70.5,71.1,67.2,74.7,67.9,NA,75.3,75,NA,72.7,57.3,65.7,2013,68.1,68.3,66.1,68.9,65.3,66.5,65.2,68.6,66.7,67.9,62.1,66.6,-2.4,-2.8,-1.1,-5.8,-2.6,NA,-10.1,-6.4,NA,-4.8,4.8,0.9
74.5,68.4,67.3,74.1,61.4,NA,72.5,70.5,NA,71,57.7,64.9,2014,67.6,67.5,66.8,68.6,64.6,68.1,64.3,68.8,66.8,67.6,62.9,66.6,-6.9,-0.9,-0.5,-5.5,3.2,NA,-8.2,-1.7,NA,-3.4,5.2,1.7
68.5,72.1,65.8,73.9,NA,NA,72.8,75.6,NA,NA,60.2,66.2,2015,67,67.4,66.7,68,65.1,65.8,63.5,67.6,66.1,67,64.1,66.3,-1.5,-4.7,0.9,-5.9,NA,NA,-9.3,-8,NA,NA,3.9,0.1
69.1,77,67.7,72.5,62.9,76.5,69.6,71.3,70.8,69.7,59.4,65.9,2016,65.7,66.1,67.4,68.3,64.4,68,64.3,67.2,66.6,66.5,63.3,66,-3.4,-10.9,-0.3,-4.2,1.5,-8.5,-5.3,-4.1,-4.2,-3.3,3.9,0.1
74.6,72.5,64.5,80.8,68.3,65.3,69.9,73.6,67.8,75,57.6,65.3,2017,67.1,65,67.4,68.1,65.1,67.2,62.4,68,65.7,67.2,58.7,65.4,-7.5,-7.5,2.9,-12.7,-3.2,1.9,-7.5,-5.6,-2.1,-7.8,1.1,0
