"Bucks_labMl","Burlington_labMl","Camden_labMl","Chester_labMl","Delaware_labMl","Gloucester_labMl","Mercer_labMl","Montgomery_labMl","NJ Suburban Counties_labMl","PA Suburban Counties_labMl","Philadelphia_labMl","Region_labMl","year","Bucks_labFm","Burlington_labFm","Camden_labFm","Chester_labFm","Delaware_labFm","Gloucester_labFm","Mercer_labFm","Montgomery_labFm","NJ Suburban Counties_labFm","PA Suburban Counties_labFm","Philadelphia_labFm","Region_labFm","Bucks_difference","Burlington_difference","Camden_difference","Chester_difference","Delaware_difference","Gloucester_difference","Mercer_difference","Montgomery_difference","NJ Suburban Counties_difference","PA Suburban Counties_difference","Philadelphia_difference","Region_difference"
87.1,88.5,86.5,88.4,85.6,86.8,87.5,89.1,87.3,87.7,76.3,84.8,2005,73.6,75.7,73.5,73,75.5,76,74.3,77.1,74.7,75,67.5,72.9,13.5,12.8,13,15.4,10.1,10.8,13.2,12,12.6,12.6,8.8,11.8
88.5,81.4,84.3,88.3,82.2,87.4,81.6,88,83.4,86.9,73.7,82.6,2006,75.6,77.6,75,74.6,74.5,73.2,73.3,76.6,75,75.5,68,73.4,12.9,3.8,9.3,13.7,7.7,14.2,8.3,11.4,8.4,11.5,5.7,9.2
86.6,85.3,84.9,88.9,83.3,85.1,83.8,88.4,84.8,86.9,76,83.6,2007,74.6,76.4,72.2,74.2,73,76.4,72.6,80.4,74.2,76,68,73.3,12,8.9,12.7,14.7,10.3,8.7,11.2,8,10.6,10.9,8,10.2
88.5,84.7,84.4,90.2,86.4,89.1,83.5,88.4,85.1,88.4,74.4,83.9,2008,76.2,78.4,77.3,74.3,78.6,78,75.4,78,77.3,76.9,69.5,75.1,12.3,6.3,7.1,15.9,7.8,11.1,8.1,10.4,7.8,11.4,4.9,8.9
88.3,85.1,85.5,90.2,86.3,88.7,85.1,87.7,85.9,88.1,74.7,83.8,2009,78,79.3,76.6,76.7,75.7,78.7,76.6,79.7,77.7,77.8,70.1,75.5,10.3,5.8,8.9,13.5,10.6,10,8.5,8,8.2,10.3,4.6,8.3
89.3,83.2,85.4,88.9,85.5,87.5,84.5,88,84.9,88,71.6,82.7,2010,78.1,79.8,77.1,75.6,77,78.6,74.9,79.6,77.6,77.8,67.8,74.9,11.2,3.4,8.3,13.3,8.5,8.9,9.6,8.4,7.3,10.1,3.8,7.7
87.2,84.1,83.6,87.7,83.8,85.9,82.4,87,83.9,86.5,71.4,81.6,2011,77,80.8,75.9,75.7,75.5,76.5,76,78.4,77.4,76.9,68.6,74.6,10.2,3.3,7.7,12,8.3,9.4,6.4,8.6,6.5,9.6,2.8,7
88.3,83.2,83,89.4,83,83,81.7,87.5,82.8,87.1,72,81.7,2012,76.7,76.9,75.6,77.1,74.6,77.4,76.5,79,76.5,77,69,74.6,11.6,6.3,7.4,12.3,8.4,5.6,5.2,8.5,6.3,10.1,3,7.2
88.1,84,83.4,89.7,83.8,84.6,82.1,87.8,83.5,87.4,73.1,82.3,2013,77.6,80.2,75.1,76.2,76.6,73.8,74.8,78.7,76.2,77.4,70.2,75,10.5,3.8,8.3,13.5,7.2,10.8,7.3,9.1,7.3,9.9,2.9,7.3
87.2,85.3,84.5,89.7,82.2,88,82.5,87.7,84.9,86.8,73.8,82.7,2014,78.7,77.6,75.8,76.8,74.8,76.7,74.4,79,76.1,77.5,69.7,74.9,8.5,7.7,8.7,12.9,7.4,11.3,8.1,8.7,8.7,9.2,4.1,7.8
87.7,84.5,83.6,89.7,83.5,86.1,82.7,86.7,84.1,86.9,74.7,82.7,2015,77.6,78,76.8,76.5,77,76,73.8,78,76.3,77.4,69.8,74.9,10.1,6.5,6.8,13.2,6.5,10.1,8.9,8.7,7.8,9.5,4.9,7.8
85.8,85.2,84.8,89.1,81.8,86,81.6,86.8,84.4,85.9,74,82.2,2016,77.1,78.5,75.3,76.5,76.4,78.8,72.6,79.2,76.2,77.5,69.5,74.8,8.7,6.7,9.5,12.6,5.4,7.2,9,7.6,8.2,8.4,4.5,7.4
89.4,83.2,84.9,89.3,84.4,87.7,82.1,87.7,84.3,87.7,72.6,82.5,2017,78,75.4,77.6,75.6,76.6,76.3,72.2,80.2,75.5,77.9,67.6,74.2,11.4,7.8,7.3,13.7,7.8,11.4,9.9,7.5,8.7,9.8,5,8.3
