"Bucks_minorityInc","Burlington_minorityInc","Camden_minorityInc","Chester_minorityInc","Delaware_minorityInc","Gloucester_minorityInc","Mercer_minorityInc","Montgomery_minorityInc","NJ Suburban Counties_minorityInc","PA Suburban Counties_minorityInc","Philadelphia_minorityInc","Region_minorityInc","year","Bucks_whtNonHispInc","Burlington_whtNonHispInc","Camden_whtNonHispInc","Chester_whtNonHispInc","Delaware_whtNonHispInc","Gloucester_whtNonHispInc","Mercer_whtNonHispInc","Montgomery_whtNonHispInc","NJ Suburban Counties_whtNonHispInc","PA Suburban Counties_whtNonHispInc","Philadelphia_whtNonHispInc","Region_whtNonHispInc","Bucks_difference","Burlington_difference","Camden_difference","Chester_difference","Delaware_difference","Gloucester_difference","Mercer_difference","Montgomery_difference","NJ Suburban Counties_difference","PA Suburban Counties_difference","Philadelphia_difference","Region_difference"
69701,77243,52966,66505,51166,63695,64737,73531,63017,63619,37051,48184,2000,87403,86664,76637,97779,76171,80061,92518,89245,83481,87443,53334,79696,17702,9420,23671,31274,25005,16366,27780,15714,20465,23824,16283,31512
70607,74409,50024,81001,44928,60381,70494,73085,62335,62855,33303,46962,2005,84685,91283,77919,95543,80286,85330,95498,90472,86792,87815,55560,82626,14079,16874,27895,14542,35358,24949,25004,17386,24457,24960,22257,35664
66330,69869,54402,69049,52478,64551,69120,72071,63211,63394,33699,47870,2006,89020,87935,78152,97946,73917,82274,90817,89918,84387,88023,53368,81658,22690,18066,23750,28897,21439,17722,21697,17847,21177,24629,19669,33788
80724,73370,52491,80366,53347,89312,74265,72337,66657,68085,35884,51273,2007,86129,92456,81528,101975,79220,86437,96367,92838,88687,90091,56256,84448,5405,19086,29037,21608,25873,-2874,22102,20501,22031,22006,20373,33175
81446,79176,53317,84756,51873,62678,72000,74454,65410,68313,34728,50139,2008,90302,93195,80704,102317,82841,85004,102792,93487,89562,92272,56963,86041,8856,14019,27387,17562,30968,22326,30793,19034,24152,23959,22234,35901
81941,76129,56106,77823,49281,66993,75484,80892,67078,68433,34398,50190,2009,88817,89448,80708,97469,79757,83587,95764,87511,86788,88351,55923,82556,6875,13319,24603,19646,30476,16594,20280,6619,19710,19918,21526,32365
73789,79691,53071,79920,52418,53517,75493,74503,65671,66899,31338,48373,2010,81020,85531,73962,97494,74047,80813,92344,87775,82403,85179,51358,79075,7232,5840,20891,17574,21629,27296,16851,13272,16732,18280,20020,30702
82310,74038,45638,81151,51730,71981,68781,75027,61369,68365,30948,47570,2011,79039,84349,77389,90756,75027,83340,96905,88157,84456,83583,51530,78793,-3271,10311,31752,9606,23298,11359,28124,13130,23087,15218,20582,31223
82449,73807,48245,87629,45622,69240,64037,70833,60725,65659,30459,46635,2012,82136,84778,74145,92697,75289,82275,92210,85765,82528,84139,53979,78928,-313,10971,25901,5068,29666,13034,28173,14932,21804,18480,23520,32292
73291,80224,46678,88134,45862,74841,64341,68536,62346,63463,32190,47712,2013,79753,83227,73605,91596,77706,77871,88042,84876,80151,83472,54215,77901,6461,3004,26927,3462,31844,3030,23702,16339,17805,20009,22025,30190
76681,80544,47824,97476,48962,71563,74947,71188,65334,67913,32947,50237,2014,83350,85447,75507,93096,76179,85975,97153,85936,84879,84819,56498,80389,6669,4903,27683,-4380,27217,14412,22206,14748,19546,16906,23551,30153
85237,64316,52350,83308,50432,65943,78603,69920,63293,67181,33888,49849,2015,85638,84031,79646,96960,84649,85047,94499,89973,84941,89227,62720,83839,401,19715,27296,13652,34217,19104,15896,20053,21649,22046,28832,33990
73460,74488,48492,83201,47684,67413,78670,73137,64722,65617,34788,50148,2016,84128,84876,80553,98816,81757,84060,93677,90323,85065,88773,60278,83282,10668,10389,32061,15615,34073,16647,15007,17186,20343,23156,25490,33134
86601,81297,54725,97360,53549,60738,81893,76502,69686,72486,36456,54233,2017,88082,91760,80731,99800,84862,91073,96639,91884,89336,91169,50933,84352,1481,10463,26006,2440,31313,30335,14746,15382,19651,18683,14477,30118
