"geography","year","Female","Male","difference","ratio"
"Bucks",2000,33262,57758,24496,57.5885591606358
"Bucks",2005,33780,56068,22288,60.2482699579082
"Bucks",2006,33678,57801,24123,58.2654279337728
"Bucks",2007,34332,54494,20162,63.0014313502404
"Bucks",2008,35058,54646,19588,64.1547414266369
"Bucks",2009,33041,52506,19465,62.928046318516
"Bucks",2010,31807,51116,19309,62.2251349870882
"Bucks",2011,34648,50487,15839,68.6275674926219
"Bucks",2012,34506,50302,15796,68.5976700727605
"Bucks",2013,32981,49572,16591,66.5315097232309
"Bucks",2014,34362,50241,15879,68.394339284648
"Bucks",2015,33443,52743,19300,63.4074663936447
"Bucks",2016,33654,50941,17287,66.0646630415579
"Bucks",2017,36608,51559,14951,71.0021528734072
"Burlington",2000,36121,55349,19228,65.2604383096352
"Burlington",2005,36320,58746,22426,61.8254859905355
"Burlington",2006,37359,55383,18024,67.4557174584259
"Burlington",2007,37481,57400,19919,65.2979094076655
"Burlington",2008,36024,57783,21759,62.3435958672966
"Burlington",2009,37435,52880,15445,70.7923600605144
"Burlington",2010,39542,54937,15395,71.9769918270018
"Burlington",2011,37702,51894,14192,72.6519443480942
"Burlington",2012,37036,52402,15366,70.6766917293233
"Burlington",2013,37571,52344,14773,71.7770900198686
"Burlington",2014,37217,51009,13792,72.9616342214119
"Burlington",2015,35876,48097,12221,74.5909308272865
"Burlington",2016,37186,52022,14836,71.4812963746107
"Burlington",2017,36353,53052,16699,68.523335595265
"Camden",2000,31255,49356,18101,63.3256341680849
"Camden",2005,30218,47465,17247,63.6637522384915
"Camden",2006,33034,47382,14348,69.718458486345
"Camden",2007,32265,46962,14697,68.704484476811
"Camden",2008,33344,48303,14959,69.0309090532679
"Camden",2009,32503,48580,16077,66.9061342116097
"Camden",2010,31751,43613,11862,72.8016875702199
"Camden",2011,32644,46490,13846,70.2172510217251
"Camden",2012,30841,43679,12838,70.6083014721033
"Camden",2013,28866,43133,14267,66.9232374284191
"Camden",2014,31613,42539,10926,74.3153341639437
"Camden",2015,32467,43529,11062,74.5870569045923
"Camden",2016,32289,43186,10897,74.767285694438
"Camden",2017,32566,41575,9009,78.3307276007216
"Chester",2000,35134,60353,25219,58.2141732805329
"Chester",2005,34958,63968,29010,54.6491995997999
"Chester",2006,36430,56648,20218,64.3094195735066
"Chester",2007,37774,60896,23122,62.0303468208092
"Chester",2008,36641,59745,23104,61.3289815047284
"Chester",2009,33185,58395,25210,56.8284955903759
"Chester",2010,37502,56561,19059,66.3036367815279
"Chester",2011,34792,55900,21108,62.2397137745975
"Chester",2012,34237,53689,19452,63.7691147162361
"Chester",2013,33805,53544,19739,63.1349917824593
"Chester",2014,36090,53265,17175,67.7555618135736
"Chester",2015,36915,54371,17456,67.8946497213588
"Chester",2016,33952,56274,22322,60.333368873725
"Chester",2017,36086,55241,19155,65.3246682717547
"Delaware",2000,32193,51016,18823,63.1037321624588
"Delaware",2005,32797,51910,19113,63.1805047197072
"Delaware",2006,33655,45972,12317,73.2076046289045
"Delaware",2007,31539,48006,16467,65.6980377452818
"Delaware",2008,32976,48890,15914,67.449376150542
"Delaware",2009,32975,45504,12529,72.4661568213783
"Delaware",2010,30772,45747,14975,67.2656130456642
"Delaware",2011,34087,44742,10655,76.1856868266953
"Delaware",2012,31825,44264,12439,71.8981565154527
"Delaware",2013,33015,44094,11079,74.8741325350388
"Delaware",2014,31434,43439,12005,72.3635442804853
"Delaware",2015,32025,42681,10656,75.0333872214803
"Delaware",2016,31670,46416,14746,68.230782488797
"Delaware",2017,33988,47113,13125,72.1414471589582
"Gloucester",2000,30966,54521,23555,56.7964637479136
"Gloucester",2005,32551,57589,25038,56.5229470905902
"Gloucester",2006,31564,55779,24215,56.5876046540813
"Gloucester",2007,37386,54263,16877,68.8977756482318
"Gloucester",2008,33159,53347,20188,62.1571972182128
"Gloucester",2009,33781,53778,19997,62.8156495221094
"Gloucester",2010,34069,52279,18210,65.1676581418925
"Gloucester",2011,35642,51680,16038,68.9667182662539
"Gloucester",2012,35015,55699,20684,62.8646833874935
"Gloucester",2013,32662,51283,18621,63.6897217401478
"Gloucester",2014,31912,49155,17243,64.9211677347167
"Gloucester",2015,32923,52919,19996,62.2139496211191
"Gloucester",2016,36680,52511,15831,69.8520310030279
